2023-09-10 19:36:28,773 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388988,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:36:33,773 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388993,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:36:38,789 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388998,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:36:43,813 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389003,"target":...bar_absolute":29.851}]}' [2474 bytes]
2023-09-10 19:36:48,818 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389008,"target":...bar_absolute":29.851}]}' [2474 bytes]
2023-09-10 19:36:49,983 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:36:49,983 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 64 92 16 b4 [binary, 4 bytes]
2023-09-10 19:36:50,027 | websockets.client | DEBUG | protocol | read_frame | < PONG 64 92 16 b4 [binary, 4 bytes]
2023-09-10 19:36:50,027 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:36:53,785 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389013,"target":...bar_absolute":29.849}]}' [2478 bytes]
2023-09-10 19:36:58,797 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389018,"target":...bar_absolute":29.849}]}' [2478 bytes]
2023-09-10 19:37:03,785 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389023,"target":...bar_absolute":29.849}]}' [2478 bytes]
2023-09-10 19:37:08,814 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389028,"target":...bar_absolute":29.849}]}' [2478 bytes]
2023-09-10 19:37:13,814 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389033,"target":...bar_absolute":29.849}]}' [2478 bytes]
2023-09-10 19:37:18,806 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389038,"target":...bar_absolute":29.849}]}' [2478 bytes]
2023-09-10 19:37:20,030 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:37:20,030 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 03 56 af 9e [binary, 4 bytes]
2023-09-10 19:37:20,078 | websockets.client | DEBUG | protocol | read_frame | < PONG 03 56 af 9e [binary, 4 bytes]
2023-09-10 19:37:20,079 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:37:24,219 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389043,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:37:28,813 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389048,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:37:33,810 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389053,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:37:38,806 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389058,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:37:43,828 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389063,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:37:48,828 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389068,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:37:50,097 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:37:50,097 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 8a 22 a8 52 [binary, 4 bytes]
2023-09-10 19:37:50,145 | websockets.client | DEBUG | protocol | read_frame | < PONG 8a 22 a8 52 [binary, 4 bytes]
2023-09-10 19:37:50,146 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:37:53,938 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389073,"target":..."bar_absolute":29.85}]}' [2476 bytes]
2023-09-10 19:37:58,828 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389078,"target":..."bar_absolute":29.85}]}' [2476 bytes]
2023-09-10 19:38:03,833 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389083,"target":..."bar_absolute":29.85}]}' [2466 bytes]
2023-09-10 19:38:08,851 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389088,"target":..."bar_absolute":29.85}]}' [2466 bytes]
2023-09-10 19:38:13,824 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389093,"target":..."bar_absolute":29.85}]}' [2466 bytes]
2023-09-10 19:38:18,838 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389098,"target":..."bar_absolute":29.85}]}' [2466 bytes]
2023-09-10 19:38:20,157 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:38:20,157 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 64 be d6 f9 [binary, 4 bytes]
2023-09-10 19:38:20,204 | websockets.client | DEBUG | protocol | read_frame | < PONG 64 be d6 f9 [binary, 4 bytes]
2023-09-10 19:38:20,204 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:38:23,837 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389103,"target":...bar_absolute":29.851}]}' [2468 bytes]
2023-09-10 19:38:28,842 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389108,"target":...bar_absolute":29.851}]}' [2468 bytes]
2023-09-10 19:38:33,853 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389113,"target":...bar_absolute":29.851}]}' [2468 bytes]
2023-09-10 19:38:38,855 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389118,"target":...bar_absolute":29.851}]}' [2468 bytes]
2023-09-10 19:38:43,862 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389123,"target":...bar_absolute":29.851}]}' [2468 bytes]
2023-09-10 19:38:48,868 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389128,"target":...bar_absolute":29.851}]}' [2468 bytes]
2023-09-10 19:38:50,228 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:38:50,228 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 24 30 58 94 [binary, 4 bytes]
2023-09-10 19:38:50,265 | websockets.client | DEBUG | protocol | read_frame | < PONG 24 30 58 94 [binary, 4 bytes]
2023-09-10 19:38:50,265 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:38:53,972 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389133,"target":...bar_absolute":29.852}]}' [2468 bytes]
2023-09-10 19:38:58,875 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389138,"target":...bar_absolute":29.852}]}' [2468 bytes]
2023-09-10 19:39:03,879 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389143,"target":...bar_absolute":29.852}]}' [2476 bytes]
2023-09-10 19:39:08,881 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389148,"target":...bar_absolute":29.852}]}' [2484 bytes]
2023-09-10 19:39:13,887 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389153,"target":...bar_absolute":29.852}]}' [2484 bytes]
2023-09-10 19:39:18,887 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389158,"target":...bar_absolute":29.852}]}' [2484 bytes]
2023-09-10 19:39:20,278 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:39:20,278 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 19 bd a3 d0 [binary, 4 bytes]
2023-09-10 19:39:20,325 | websockets.client | DEBUG | protocol | read_frame | < PONG 19 bd a3 d0 [binary, 4 bytes]
2023-09-10 19:39:20,325 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:39:23,971 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389163,"target":...bar_absolute":29.852}]}' [2484 bytes]
2023-09-10 19:39:28,877 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389168,"target":...bar_absolute":29.852}]}' [2476 bytes]
2023-09-10 19:39:33,883 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389173,"target":...bar_absolute":29.852}]}' [2476 bytes]
2023-09-10 19:39:39,221 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389178,"target":...bar_absolute":29.852}]}' [2476 bytes]
2023-09-10 19:39:43,889 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389183,"target":...bar_absolute":29.852}]}' [2476 bytes]
2023-09-10 19:39:48,888 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389188,"target":...bar_absolute":29.852}]}' [2476 bytes]
2023-09-10 19:39:50,331 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:39:50,331 | websockets.client | DEBUG | protocol | write_frame_sync | > PING c7 03 8d ca [binary, 4 bytes]
2023-09-10 19:39:50,386 | websockets.client | DEBUG | protocol | read_frame | < PONG c7 03 8d ca [binary, 4 bytes]
2023-09-10 19:39:50,386 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:39:53,995 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389193,"target":..."bar_absolute":29.85}]}' [2474 bytes]
