2023-10-11 00:01:28,835 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996888,"target":...bar_absolute":29.794}]}' [2458 bytes]
2023-10-11 00:01:29,266 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:01:29,266 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 8a de 41 f8 [binary, 4 bytes]
2023-10-11 00:01:29,308 | websockets.client | DEBUG | protocol | read_frame | < PONG 8a de 41 f8 [binary, 4 bytes]
2023-10-11 00:01:29,309 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:01:33,922 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996893,"target":...bar_absolute":29.794}]}' [2458 bytes]
2023-10-11 00:01:38,850 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996898,"target":...bar_absolute":29.796}]}' [2458 bytes]
2023-10-11 00:01:43,856 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996903,"target":...bar_absolute":29.796}]}' [2454 bytes]
2023-10-11 00:01:48,858 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996908,"target":...bar_absolute":29.796}]}' [2454 bytes]
2023-10-11 00:01:53,871 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996913,"target":...bar_absolute":29.796}]}' [2462 bytes]
2023-10-11 00:01:58,854 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996918,"target":...bar_absolute":29.796}]}' [2462 bytes]
2023-10-11 00:01:59,303 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:01:59,303 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 75 fc 45 47 [binary, 4 bytes]
2023-10-11 00:01:59,340 | websockets.client | DEBUG | protocol | read_frame | < PONG 75 fc 45 47 [binary, 4 bytes]
2023-10-11 00:01:59,340 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:02:03,967 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996923,"target":...bar_absolute":29.796}]}' [2462 bytes]
2023-10-11 00:02:08,857 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996928,"target":...bar_absolute":29.794}]}' [2462 bytes]
2023-10-11 00:02:13,869 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996933,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:02:18,847 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996938,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:02:23,859 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996943,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:02:28,867 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996948,"target":...bar_absolute":29.794}]}' [2454 bytes]
